##var,full_name,flags,unique,group,comment,tags,*items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##var,,,,,,,name,alias,value,comment,tags,,,,,,,,,,,,,,,,,,,,,,,,,
##,全名(包含模块和名字),"是否为位标记枚举（即每个枚举项为位标记数据，例如System.IO.FileMode,填数据时可以为READ|WRITE这样)",枚举项是否唯一,,,,枚举名,别名,值,注释,,,,,,,,,,,,,,,,,,,,,,,,,,
品质,EQuality,False,True,,,,White,白,1,白,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blue,蓝,2,蓝,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Purple,紫,3,紫,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Red,红,4,红,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Orange,橙,5,橙,,,,,,,,,,,,,,,,,,,,,,,,,,
道具类型,ItemType,False,True,,,,Item,道具,1,道具,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Expendable,消耗品,2,消耗品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Equip,装备,3,装备,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fragment,碎片,4,碎片,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,材料,5,材料,,,,,,,,,,,,,,,,,,,,,,,,,,
道具子类型,ItemSubType,False,True,,,,None,无,0,无,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Weapon,武器,1,武器,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Chest,胸,2,胸,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Belt,腰带,3,腰带,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Boot,鞋子,4,鞋子,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Ring,戒指,5,戒指,,,,,,,,,,,,,,,,,,,,,,,,,,
道具使用类型,ItemUseType,False,True,,,,CanNot,不可使用,0,不可使用,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,UseOne,可单个使用,1,可单个使用,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,UseTotal,可全部使用,2,可一键全部使用,,,,,,,,,,,,,,,,,,,,,,,,,,
红点枚举类型,ERedDotKey,False,True,,,,Bag,背包,1000,背包,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bag_Item,背包.道具,1001,背包.道具,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bag_Skill,背包.技能,1002,背包.技能,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shop,商店,2000,商店,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shop_Gift,商店.礼包,2001,商店.礼包,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Shop_Res,商店.资源,2002,商店.资源,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hero,英雄,3000,英雄,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hero_Equip,英雄.装备,3001,英雄.装备,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hero_Skill,英雄.技能,3002,英雄.技能,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hero_Skin,英雄.皮肤,3003,英雄.皮肤,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Battle,战斗,4000,战斗,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Battle_Team,战斗.队伍,4001,战斗.队伍,,,,,,,,,,,,,,,,,,,,,,,,,,
红点显示类型,ERedDotDisplayMode,False,True,,,,DotOnly,只显示红点,0,只显示红点,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DotNumber,红点+数字,1,红点+数字,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Auto,自动,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
红点清除策略类型,ERedDotCleanStrategy,False,True,,,,Manual,手动清除,0,手动清除(业务代码显式调用),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ViewAutoClean,界面自动清除,1,界面关闭时框架自动清除,,,,,,,,,,,,,,,,,,,,,,,,,,
声音组,ESoundGroup,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BGM,SG_BGM,1,背景音乐,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SFX,SG_SFX,2,音效,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,UI,SG_UI,3,UI音效,,,,,,,,,,,,,,,,,,,,,,,,,,
实体组,EEntityGroup,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Player,EG_Player,1,玩家,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Enemy,EG_Enemy,2,敌人,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NPC,EG_NPC,3,NPC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Item,EG_Item,4,道具,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Effect,EG_Effect,5,特效,,,,,,,,,,,,,,,,,,,,,,,,,,
