##var,full_name,parent,valueType,sep,alias,comment,group,tags,*fields,,,,,,
##var,,,,,,,,,name,alias,type,group,comment,tags,variants
##,全名(包含模块和名字),,,分割符,,注释,,,字段名,字段别名,类型,分组,注释,,字段变体
,Property,,,,,属性,,,PhysicalAttack,,int,,物理攻击,,
,,,,,,,,,MagicAttack,,int,,魔法攻击,,
,,,,,,,,,PhysicalDefense,,int,,物理防御,,
,,,,,,,,,MagicDefense,,int,,魔法防御,,
,,,,,,,,,Life,,int,,生命值,,
,,,,,,,,,Crit,,int,,暴击,,
,,,,,,,,,burstDamage,,int,,爆伤,,
,,,,,,,,,precise,,int,,精准,,
,,,,,,,,,block,,int,,格挡,,
,PropItem,,,;,,,,,Id,,int,,道具id,,
,,,,,,,,,Count,,int,,道具数量,,
